zip,lat,lng,city,state_id,state_name,zcta,parent_zcta,population,density,county_fips,county_name,all_county_weights,imprecise,military,timezone
61544,40.6918,-90.2401,London Mills,IL,Illinois,TRUE,,713,8.4,17057,Fulton,"{'17057':86.96,'17095':13.04}",FALSE,FALSE,America/Chicago
61545,40.8707,-89.3535,Lowpoint,IL,Illinois,TRUE,,646,8.2,17203,Woodford,{'17203':100},FALSE,FALSE,America/Chicago
61546,40.454,-89.7988,Manito,IL,Illinois,TRUE,,4276,16.3,17125,Mason,"{'17125':55.82,'17179':44.18}",FALSE,FALSE,America/Chicago
61547,40.6063,-89.7375,Mapleton,IL,Illinois,TRUE,,3779,65.2,17143,Peoria,{'17143':100},FALSE,FALSE,America/Chicago
61548,40.8092,-89.414,Metamora,IL,Illinois,TRUE,,12085,61.6,17203,Woodford,{'17203':100},FALSE,FALSE,America/Chicago
61550,40.6108,-89.4421,Morton,IL,Illinois,TRUE,,17721,167.3,17179,Tazewell,{'17179':100},FALSE,FALSE,America/Chicago
61552,40.8176,-89.5657,Mossville,IL,Illinois,TRUE,,239,171.8,17143,Peoria,{'17143':100},FALSE,FALSE,America/Chicago
61553,40.6259,-90.0323,Norris,IL,Illinois,TRUE,,213,308.4,17057,Fulton,{'17057':100},FALSE,FALSE,America/Chicago
61554,40.5409,-89.6186,Pekin,IL,Illinois,TRUE,,43810,241.8,17179,Tazewell,{'17179':100},FALSE,FALSE,America/Chicago
61559,40.9211,-89.7756,Princeville,IL,Illinois,TRUE,,3332,13.1,17143,Peoria,"{'17143':97.87,'17175':2.13}",FALSE,FALSE,America/Chicago
61560,41.1878,-89.4028,Putnam,IL,Illinois,TRUE,,754,8.8,17155,Putnam,"{'17011':1.19,'17155':98.81}",FALSE,FALSE,America/Chicago
61561,40.803,-89.2009,Roanoke,IL,Illinois,TRUE,,2788,19.5,17203,Woodford,{'17203':100},FALSE,FALSE,America/Chicago
61562,40.8805,-89.5014,Rome,IL,Illinois,TRUE,,46,654.1,17143,Peoria,{'17143':100},FALSE,FALSE,America/Chicago
61563,40.492,-90.0541,Saint David,IL,Illinois,TRUE,,526,582.6,17057,Fulton,{'17057':100},FALSE,FALSE,America/Chicago
