zip,lat,lng,city,state_id,state_name,zcta,parent_zcta,population,density,county_fips,county_name,all_county_weights,imprecise,military,timezone
27502,35.7201,-78.915,Apex,NC,North Carolina,TRUE,,30831,420.1,37183,Wake,"{'37037':0.28,'37183':99.72}",FALSE,FALSE,America/New_York
27503,36.1593,-78.8778,Bahama,NC,North Carolina,TRUE,,3471,36.7,37063,Durham,{'37063':100},FALSE,FALSE,America/New_York
27504,35.399,-78.519,Benson,NC,North Carolina,TRUE,,14566,62.2,37101,Johnston,"{'37085':3.7,'37101':96.3}",FALSE,FALSE,America/New_York
27505,35.4207,-79.002,Broadway,NC,North Carolina,TRUE,,5896,40.1,37085,Harnett,"{'37085':78.24,'37105':21.76}",FALSE,FALSE,America/New_York
27507,36.5127,-78.5631,Bullock,NC,North Carolina,TRUE,,1929,15.6,37077,Granville,"{'37077':87.51,'37181':12.49}",FALSE,FALSE,America/New_York
27508,35.9577,-78.2498,Bunn,NC,North Carolina,TRUE,,2053,75.8,37069,Franklin,{'37069':100},FALSE,FALSE,America/New_York
27509,36.1285,-78.7759,Butner,NC,North Carolina,TRUE,,10167,261.7,37077,Granville,{'37077':100},FALSE,FALSE,America/New_York
27510,35.9159,-79.0819,Carrboro,NC,North Carolina,TRUE,,14644,1510,37135,Orange,{'37135':100},FALSE,FALSE,America/New_York
27511,35.7633,-78.7843,Cary,NC,North Carolina,TRUE,,32029,1055.3,37183,Wake,{'37183':100},FALSE,FALSE,America/New_York
27513,35.8022,-78.8027,Cary,NC,North Carolina,TRUE,,40755,995.7,37183,Wake,{'37183':100},FALSE,FALSE,America/New_York
27514,35.9672,-79.0444,Chapel Hill,NC,North Carolina,TRUE,,32110,637.9,37135,Orange,{'37135':100},FALSE,FALSE,America/New_York
27516,35.9125,-79.1514,Chapel Hill,NC,North Carolina,TRUE,,36139,150.1,37135,Orange,"{'37037':8.67,'37135':91.33}",FALSE,FALSE,America/New_York
27517,35.8503,-79.0248,Chapel Hill,NC,North Carolina,TRUE,,23346,196,37135,Orange,"{'37037':35.31,'37063':24.17,'37135':40.53}",FALSE,FALSE,America/New_York
27518,35.7298,-78.7736,Cary,NC,North Carolina,TRUE,,19630,787.7,37183,Wake,{'37183':100},FALSE,FALSE,America/New_York
27519,35.8071,-78.887,Cary,NC,North Carolina,TRUE,,39178,694.4,37183,Wake,"{'37037':3.66,'37183':96.34}",FALSE,FALSE,America/New_York
27520,35.6143,-78.4719,Clayton,NC,North Carolina,TRUE,,36357,192.4,37101,Johnston,"{'37101':97.34,'37183':2.66}",FALSE,FALSE,America/New_York
27521,35.4137,-78.6593,Coats,NC,North Carolina,TRUE,,6035,89.8,37085,Harnett,{'37085':100},FALSE,FALSE,America/New_York
27522,36.1065,-78.6737,Creedmoor,NC,North Carolina,TRUE,,12335,65.9,37077,Granville,"{'37077':96.99,'37183':3.01}",FALSE,FALSE,America/New_York
27523,35.7722,-78.9606,Apex,NC,North Carolina,TRUE,,9552,89.3,37183,Wake,"{'37037':22.68,'37183':77.32}",FALSE,FALSE,America/New_York
27524,35.3953,-78.3819,Four Oaks,NC,North Carolina,TRUE,,12338,36.1,37101,Johnston,"{'37101':97.58,'37191':2.42}",FALSE,FALSE,America/New_York
27525,36.1184,-78.468,Franklinton,NC,North Carolina,TRUE,,13338,55.7,37069,Franklin,"{'37069':67.55,'37077':32.45}",FALSE,FALSE,America/New_York
27526,35.5414,-78.828,Fuquay Varina,NC,North Carolina,TRUE,,38894,154.9,37183,Wake,"{'37085':20.38,'37183':79.62}",FALSE,FALSE,America/New_York
27527,35.6577,-78.3838,Clayton,NC,North Carolina,TRUE,,18216,160.7,37101,Johnston,{'37101':100},FALSE,FALSE,America/New_York
27529,35.6523,-78.5817,Garner,NC,North Carolina,TRUE,,42128,281.5,37183,Wake,"{'37101':25.18,'37183':74.82}",FALSE,FALSE,America/New_York
27530,35.369,-78.0749,Goldsboro,NC,North Carolina,TRUE,,40117,146.4,37191,Wayne,{'37191':100},FALSE,FALSE,America/New_York
27531,35.343,-77.9644,Goldsboro,NC,North Carolina,TRUE,,594,64,37191,Wayne,{'37191':100},FALSE,FALSE,America/New_York
27534,35.3713,-77.9077,Goldsboro,NC,North Carolina,TRUE,,31364,167.5,37191,Wayne,{'37191':100},FALSE,FALSE,America/New_York
27536,36.3267,-78.4088,Henderson,NC,North Carolina,TRUE,,17289,522.7,37181,Vance,{'37181':100},FALSE,FALSE,America/New_York
27537,36.36,-78.3907,Henderson,NC,North Carolina,TRUE,,24319,49.1,37181,Vance,"{'37069':3.75,'37181':94.13,'37185':2.11}",FALSE,FALSE,America/New_York
27539,35.6767,-78.814,Apex,NC,North Carolina,TRUE,,18692,228.7,37183,Wake,{'37183':100},FALSE,FALSE,America/New_York
27540,35.6123,-78.8695,Holly Springs,NC,North Carolina,TRUE,,29363,244.4,37183,Wake,"{'37037':0.02,'37085':3.55,'37183':96.42}",FALSE,FALSE,America/New_York
27541,36.2633,-79.0863,Hurdle Mills,NC,North Carolina,TRUE,,3770,21,37145,Person,"{'37033':0.42,'37135':33.4,'37145':66.18}",FALSE,FALSE,America/New_York
27542,35.6182,-78.1407,Kenly,NC,North Carolina,TRUE,,9133,41,37101,Johnston,"{'37101':70.29,'37191':7.56,'37195':22.15}",FALSE,FALSE,America/New_York
27544,36.2005,-78.4408,Kittrell,NC,North Carolina,TRUE,,4449,28.1,37181,Vance,"{'37069':21.94,'37077':11.26,'37181':66.8}",FALSE,FALSE,America/New_York
27545,35.7835,-78.4778,Knightdale,NC,North Carolina,TRUE,,23006,306.4,37183,Wake,{'37183':100},FALSE,FALSE,America/New_York
27546,35.3839,-78.8681,Lillington,NC,North Carolina,TRUE,,19471,60.7,37085,Harnett,{'37085':100},FALSE,FALSE,America/New_York
27549,36.1037,-78.2383,Louisburg,NC,North Carolina,TRUE,,24112,38.6,37069,Franklin,{'37069':100},FALSE,FALSE,America/New_York
27551,36.432,-78.0516,Macon,NC,North Carolina,TRUE,,1962,9,37185,Warren,{'37185':100},FALSE,FALSE,America/New_York
27553,36.4836,-78.307,Manson,NC,North Carolina,TRUE,,2937,30.7,37185,Warren,"{'37181':30.27,'37185':69.73}",FALSE,FALSE,America/New_York
27555,35.5628,-78.204,Micro,NC,North Carolina,TRUE,,441,439.3,37101,Johnston,{'37101':100},FALSE,FALSE,America/New_York
27556,36.4085,-78.3147,Middleburg,NC,North Carolina,TRUE,,346,69.8,37181,Vance,{'37181':100},FALSE,FALSE,America/New_York
27557,35.7761,-78.1992,Middlesex,NC,North Carolina,TRUE,,7509,47.1,37127,Nash,"{'37101':42.11,'37127':56.81,'37195':1.08}",FALSE,FALSE,America/New_York
27559,35.6316,-79.1007,Moncure,NC,North Carolina,TRUE,,2288,18.3,37037,Chatham,{'37037':100},FALSE,FALSE,America/New_York
27560,35.8591,-78.8271,Morrisville,NC,North Carolina,TRUE,,22623,299.6,37183,Wake,"{'37063':11.86,'37183':88.14}",FALSE,FALSE,America/New_York
27562,35.6412,-78.9881,New Hill,NC,North Carolina,TRUE,,1938,13.9,37037,Chatham,"{'37037':56.19,'37183':43.81}",FALSE,FALSE,America/New_York
27563,36.4288,-78.2372,Norlina,NC,North Carolina,TRUE,,5008,27.3,37185,Warren,"{'37181':2.16,'37185':97.84}",FALSE,FALSE,America/New_York
27565,36.3627,-78.6503,Oxford,NC,North Carolina,TRUE,,25255,29.4,37077,Granville,"{'37077':96.85,'37145':0.44,'37181':2.71}",FALSE,FALSE,America/New_York
27568,35.5089,-78.2439,Pine Level,NC,North Carolina,TRUE,,480,789.4,37101,Johnston,{'37101':100},FALSE,FALSE,America/New_York
27569,35.4291,-78.1761,Princeton,NC,North Carolina,TRUE,,8022,38,37101,Johnston,"{'37101':72.58,'37191':27.42}",FALSE,FALSE,America/New_York
27571,35.9205,-78.4572,Rolesville,NC,North Carolina,TRUE,,3893,340.9,37183,Wake,{'37183':100},FALSE,FALSE,America/New_York
27572,36.2491,-78.8846,Rougemont,NC,North Carolina,TRUE,,6546,24.6,37077,Granville,"{'37063':29.27,'37077':6.66,'37135':27.47,'37145':36.6}",FALSE,FALSE,America/New_York
27573,36.3968,-78.976,Roxboro,NC,North Carolina,TRUE,,11414,247.7,37145,Person,{'37145':100},FALSE,FALSE,America/New_York
27574,36.4304,-78.9451,Roxboro,NC,North Carolina,TRUE,,14373,29.6,37145,Person,{'37145':100},FALSE,FALSE,America/New_York
27576,35.5828,-78.2576,Selma,NC,North Carolina,TRUE,,17091,79.4,37101,Johnston,{'37101':100},FALSE,FALSE,America/New_York
27577,35.4918,-78.3439,Smithfield,NC,North Carolina,TRUE,,22911,85,37101,Johnston,{'37101':100},FALSE,FALSE,America/New_York
27581,36.2013,-78.7308,Stem,NC,North Carolina,TRUE,,3049,34.3,37077,Granville,{'37077':100},FALSE,FALSE,America/New_York
27582,36.4618,-78.5743,Stovall,NC,North Carolina,TRUE,,289,35.1,37077,Granville,{'37077':100},FALSE,FALSE,America/New_York
27583,36.2951,-78.936,Timberlake,NC,North Carolina,TRUE,,6921,57.7,37145,Person,"{'37135':2.54,'37145':97.46}",FALSE,FALSE,America/New_York
27587,35.9813,-78.5527,Wake Forest,NC,North Carolina,TRUE,,53078,195.7,37183,Wake,"{'37069':3.33,'37077':3.62,'37183':93.05}",FALSE,FALSE,America/New_York
27589,36.3376,-78.1291,Warrenton,NC,North Carolina,TRUE,,8370,18.6,37185,Warren,"{'37069':2.96,'37185':97.04}",FALSE,FALSE,America/New_York
27591,35.7848,-78.3861,Wendell,NC,North Carolina,TRUE,,19589,114.1,37183,Wake,"{'37101':19.67,'37183':80.33}",FALSE,FALSE,America/New_York
27592,35.5577,-78.6734,Willow Spring,NC,North Carolina,TRUE,,15244,141.3,37183,Wake,"{'37085':0.22,'37101':41.8,'37183':57.98}",FALSE,FALSE,America/New_York
27596,36.0102,-78.4462,Youngsville,NC,North Carolina,TRUE,,15619,108.1,37069,Franklin,"{'37069':88.53,'37077':7.13,'37183':4.33}",FALSE,FALSE,America/New_York
27597,35.841,-78.3002,Zebulon,NC,North Carolina,TRUE,,22181,69.8,37183,Wake,"{'37069':25.22,'37101':13.95,'37127':5.52,'37183':55.31}",FALSE,FALSE,America/New_York
27601,35.7737,-78.6344,Raleigh,NC,North Carolina,TRUE,,9450,2033.5,37183,Wake,{'37183':100},FALSE,FALSE,America/New_York
27603,35.6636,-78.6617,Raleigh,NC,North Carolina,TRUE,,47033,351.9,37183,Wake,"{'37101':3.13,'37183':96.87}",FALSE,FALSE,America/New_York
27604,35.8186,-78.5588,Raleigh,NC,North Carolina,TRUE,,42204,754.9,37183,Wake,{'37183':100},FALSE,FALSE,America/New_York
27605,35.7907,-78.6546,Raleigh,NC,North Carolina,TRUE,,4495,1758,37183,Wake,{'37183':100},FALSE,FALSE,America/New_York
27606,35.7405,-78.7176,Raleigh,NC,North Carolina,TRUE,,43210,672.6,37183,Wake,{'37183':100},FALSE,FALSE,America/New_York
27607,35.8133,-78.7224,Raleigh,NC,North Carolina,TRUE,,25188,604,37183,Wake,{'37183':100},FALSE,FALSE,America/New_York
